site,igbp,hour,obs,air,soil
US-Ho1,ENF,2,1.064482418900709,0.9655850693831436,1.002475810218654
US-Ho1,ENF,3,1.109081870049435,0.9645843469255647,0.9998436205658269
US-Ho1,ENF,4,0.9230776895131767,0.9204725517114201,0.9651584727345941
US-Ho1,ENF,5,0.8011522229490966,0.892372414233334,0.9494349055487097
US-Ho1,ENF,6,0.6164934849262368,0.8063862930024216,0.9010712974922037
US-Ho1,ENF,16,0.5493231996950594,0.9067504621694141,0.919939850322656
US-Ho1,ENF,17,0.6932234819002708,0.9758410794824234,0.9532084717481073
US-Ho1,ENF,18,0.7901035318894908,1.0556167823780747,0.993804754153345
US-Ho1,ENF,19,1.1876869362133167,1.1726332361144431,1.0750612923043557
US-Ho1,ENF,20,1.212027187445306,1.1182847782544028,1.0631244758900738
US-Ho1,ENF,21,1.339077430839056,1.1034586071518746,1.0647322531210248
US-Ho1,ENF,22,1.2563087393013754,1.0704901217455274,1.0415000327532553
US-Ho1,ENF,23,1.24216151018605,1.0576573484621197,1.042313406298838
US-KFS,GRA,0,1.161979373866272,1.0909388272800593,1.0900792760869948
US-KFS,GRA,1,1.1326412709781757,1.071651537147084,1.082758059638974
US-KFS,GRA,2,1.1448807100433744,1.0509960091065031,1.0721588530256212
US-KFS,GRA,3,1.1173561096660016,1.01860849712346,1.053834759783153
US-KFS,GRA,4,1.1169805791623004,1.004151545833725,1.047941210300363
US-KFS,GRA,5,1.0505444518525584,0.9548548352011673,1.0128809024929515
US-KFS,GRA,6,0.7254631372264285,0.8203720335552869,0.8820747212969863
US-KFS,GRA,7,0.6387087633451057,0.7152540043878421,0.7803802116646277
US-KFS,GRA,8,0.9039942608063831,0.7731745772073028,0.777496114258194
US-KFS,GRA,16,0.9281850361787869,0.8902411494836691,0.8624135891993601
US-KFS,GRA,17,0.6341445872244603,0.8922712459811223,0.8657964289623324
US-KFS,GRA,18,0.7642634110819153,1.0014793527025136,0.9477606315401972
US-KFS,GRA,19,1.0063486057862976,1.1542662311286422,1.0903206644658512
US-KFS,GRA,20,1.2161909249982463,1.174518547675041,1.1214350114689957
US-KFS,GRA,21,1.1587379303614695,1.1470828595291573,1.1099464030327706
US-KFS,GRA,22,1.116964808039661,1.1271176387974575,1.1027572378789114
US-KFS,GRA,23,1.1826160393825658,1.1130211078599634,1.0999659249037175
US-KLS,GRA,0,1.1967108096663144,1.1035194544164053,1.1059059834452927
US-KLS,GRA,1,1.075882293138242,1.0682472971656372,1.081911025107384
US-KLS,GRA,2,1.0986805592137325,1.0544134277275994,1.0813316919907865
US-KLS,GRA,3,1.3990383224699179,1.0365197275706082,1.0799227018295476
US-KLS,GRA,4,1.274468876923905,1.0187856100941712,1.0773133655978806
US-KLS,GRA,5,1.0656317026161848,0.9123322543690293,0.9666561882148202
US-KLS,GRA,6,0.6397727513000613,0.703658335647524,0.7304520854817482
US-KLS,GRA,7,0.5007884074345079,0.6441274324911276,0.680931582804726
US-KLS,GRA,17,0.44907427071341377,0.8675528375794037,0.801242161152354
US-KLS,GRA,18,0.6197746837449322,0.9802818722191795,0.8880527019948727
US-KLS,GRA,19,0.9130446623117178,1.1095973911370183,1.0579776183107588
US-KLS,GRA,20,1.0833098423559127,1.1420362894251586,1.1037393969834441
US-KLS,GRA,21,1.0464240347035736,1.1129486985532953,1.1023769266240546
US-KLS,GRA,22,1.241822662737863,1.108239387016101,1.1096587075609627
US-KLS,GRA,23,1.3955761206697237,1.1377399845877385,1.1325278629013669
US-Los,WET,0,1.2155373419883162,1.0627981966913118,1.0493552400911126
US-Los,WET,1,1.2134862270095261,1.0411295078894063,1.0391246297456493
US-Los,WET,2,1.2425818335639782,1.0248327019714305,1.0305094328183808
US-Los,WET,3,1.3120263653181041,1.0246500445943008,1.0385225426219213
US-Los,WET,4,1.5050334482308372,1.0414139463673375,1.0590357772245491
US-Los,WET,5,1.167435463221538,0.9792706183219784,1.0195207841534006
US-Los,WET,6,0.6088100328332055,0.8284379967117348,0.910046849691558
US-Los,WET,7,0.44195951307369563,0.754708623305568,0.8349941262480746
US-Los,WET,8,0.6311235412824988,0.8875506907858992,0.8921340763840953
US-Los,WET,15,0.6777364036273756,0.9552833298732302,0.914444290744483
US-Los,WET,16,0.4755556396475139,0.8793687333830643,0.8824362786476654
US-Los,WET,17,0.6582317808931644,0.9513778098061302,0.9579280449165274
US-Los,WET,18,0.918808667363185,1.0623217358144503,1.0387136439025435
US-Los,WET,19,1.2171666548295896,1.167602516076621,1.1126804414770315
US-Los,WET,20,1.1982139033562853,1.1099981099726728,1.0670808926324749
US-Los,WET,21,1.1924433102813516,1.087804190315421,1.0569609558721662
US-Los,WET,22,1.1656717937952645,1.0729393470123094,1.0473180601142593
